Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
CINEPOLIS BELLA VISTA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,RODOLFO ELÍAS CALLES,1750,COLONIA,SORIANA,85130,26,SONORA,18,Cajeme,1,Ciudad Obregón                                                                                                ,1046,27.48280829,-109.9606536,2010-07
CINEPOLIS CABORCA,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,BOULEVARD,ALVARO OBREGON,382,COLONIA,FRANCISCO VILLA,83650,26,SONORA,17,Caborca,1,Heroica Caborca                                                                                               ,1320,30.70952418,-112.1732104,2019-11
CINEPOLIS DE MEXICO,CINEPOLIS DE MEXICO,31 a 50 personas,AVENIDA,Y,382,COLONIA,INDUSTRIAL,83640,26,SONORA,17,Caborca,1,Heroica Caborca                                                                                               ,1320,30.7088112,-112.1726581,2019-11
CINEPOLIS GALERÍAS MALL SONORA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,DE LA CULTURA,55,COLONIA,PROYECTO RIO SONORA,83280,26,SONORA,30,Hermosillo,1,Hermosillo                                                                                                    ,3371,29.06710262,-110.9526948,2011-03
CINEPOLIS HERMOSILLO,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,LUIS ENCINAS JOHNSON,2257,COLONIA,SAN BENITO,83190,26,SONORA,30,Hermosillo,1,Hermosillo                                                                                                    ,5433,29.08851957,-110.9658073,2010-07
CINEPOLIS MAGDALENA DE KINO,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,CALLE,DOCTOR ERNESTO RIVERA MAGALLÓN,102,COLONIA,CENTRO,84160,26,SONORA,36,Magdalena,1,Magdalena de Kino                                                                                             ,402,30.62513244,-110.9715851,2023-11
CINEPOLIS NOGALES,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,BOULEVARD,ARCADIA,45,COLONIA,EL GRECO,84066,26,SONORA,43,Nogales,1,Heroica Nogales                                                                                               ,407,31.28977903,-110.9409418,2010-07
CINEPOLIS PLAZA DE HIERRO NAVOJOA,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,BOULEVARD,CENTENARIO,103,COLONIA,REFORMA,85830,26,SONORA,42,Navojoa,1,Navojoa                                                                                                       ,1041,27.08913461,-109.4478014,2023-11
CINEPOLIS REAL CENTER PUERTO PEÑASCO,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,BOULEVARD,BENITO JUÁREZ GARCÍA,361,COLONIA,LOPEZ PORTILLO,83552,26,SONORA,48,Puerto Peñasco,1,Puerto Peñasco                                                                                                ,2151,31.33880413,-113.5258041,2023-11
CINEPOLIS SAN LUIS RÍO COLORADO,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,COLIMA,2508,COLONIA,CAMPESTRE,83499,26,SONORA,55,San Luis Río Colorado,1,San Luis Río Colorado                                                                                         ,751,32.44782129,-114.7618468,2010-07
CINEPOLIS SENDERO HERMOSILLO,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,DE LOS GANADORES,1274,COLONIA,PERISUR,83290,26,SONORA,30,Hermosillo,1,Hermosillo                                                                                                    ,2744,29.03265217,-110.9396096,2010-07
CINEPOLIS SENDERO OBREGÓN,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,RENO OTE,2101,COLONIA,CENTRAL DE ABASTOS,85099,26,SONORA,18,Cajeme,1,Ciudad Obregón                                                                                                ,1099,27.46769352,-109.9125609,2019-04
CINEPOLIS VIP GALERÍAS MALL SONORA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,CULTURA,55,COLONIA,PROYECTO RIO SONORA,83280,26,SONORA,30,Hermosillo,1,Hermosillo                                                                                                    ,3371,29.06718295,-110.9539953,2020-04
